image_index,label,recall@1,recall@5,recall@10,recall@20
1993,42,0.02083,0.10417,0.20833,0.41667
1994,42,0.02083,0.10417,0.20833,0.41667
1995,42,0.02083,0.10417,0.20833,0.41667
1996,42,0.02083,0.10417,0.20833,0.41667
1997,42,0.02083,0.10417,0.20833,0.41667
1998,42,0.02083,0.10417,0.20833,0.41667
1999,42,0.02083,0.10417,0.20833,0.41667
2000,42,0.02083,0.10417,0.20833,0.41667
2001,42,0.02083,0.10417,0.20833,0.41667
2002,42,0.02083,0.10417,0.20833,0.41667
2003,42,0.02083,0.10417,0.20833,0.41667
2004,42,0.02083,0.10417,0.20833,0.41667
2005,42,0.02083,0.10417,0.20833,0.41667
2006,42,0.02083,0.10417,0.20833,0.41667
2007,42,0.02083,0.10417,0.20833,0.41667
2008,42,0.02083,0.10417,0.20833,0.41667
2009,43,0.0101,0.05051,0.10101,0.20202
2010,43,0.0101,0.05051,0.10101,0.20202
2011,43,0.0101,0.05051,0.10101,0.20202
2012,43,0.0101,0.05051,0.10101,0.20202
2013,43,0.0101,0.05051,0.10101,0.20202
2014,43,0.0101,0.05051,0.10101,0.19192
2015,43,0.0101,0.05051,0.10101,0.20202
2016,43,0.0,0.0202,0.0404,0.06061
2017,43,0.0101,0.05051,0.10101,0.18182
2018,43,0.0101,0.05051,0.10101,0.20202
2019,43,0.0101,0.05051,0.10101,0.19192
2020,43,0.0,0.0,0.0,0.0
2021,43,0.0101,0.05051,0.10101,0.20202
2022,43,0.0101,0.05051,0.10101,0.20202
2023,43,0.0101,0.05051,0.10101,0.19192
2024,43,0.0101,0.05051,0.10101,0.19192
2025,43,0.0101,0.05051,0.10101,0.20202
2026,43,0.0101,0.05051,0.10101,0.18182
2027,43,0.0101,0.05051,0.10101,0.20202
2028,43,0.0101,0.05051,0.10101,0.20202
2029,43,0.0101,0.05051,0.10101,0.20202
2030,43,0.0101,0.0404,0.08081,0.14141
2031,43,0.0101,0.05051,0.10101,0.20202
2032,43,0.0101,0.05051,0.10101,0.20202
2033,43,0.0101,0.05051,0.10101,0.19192
2034,43,0.0101,0.0404,0.09091,0.14141
